category,quantity_in_%
Open Source,0.7380073800738007
Mobile,0.36900369003690037
Java,35.42435424354243
Software Engineering,5.904059040590406
Internet,15.129151291512915
Web Development,6.273062730627306
Miscellaneous,0.7380073800738007
Microsoft .NET,12.546125461254611
Microsoft,2.952029520295203
Next Generation Databases,0.36900369003690037
PowerBuilder,2.5830258302583027
Client-Server,4.059040590405904
Computer Graphics,2.214022140221402
Object-Oriented Programming,1.4760147601476015
S,0.36900369003690037
Networking,2.5830258302583027
Theory,2.5830258302583027
Programming,4.428044280442804
Python,2.214022140221402
Mobile Technology,2.214022140221402
Business,4.428044280442804
P,0.36900369003690037
XML,1.4760147601476015
Perl,2.214022140221402
java,0.36900369003690037
Microsoft/.NET,0.36900369003690037
Miscella,0.36900369003690037
Object-Technology Programming,0.36900369003690037
,0.7380073800738007
internet,0.36900369003690037
.NET,0.36900369003690037
Algorithmic Art,0.36900369003690037
PHP,0.36900369003690037
SOA,0.36900369003690037
Computer Graph,0.36900369003690037
Client Server,0.36900369003690037
In Action,0.36900369003690037
Software Development,0.36900369003690037
